Year	Pg/year 
1850    0.5006
1851    0.4927
1852    0.5485
1853    0.5468
1854    0.5448
1855    0.5421
1856    0.5477
1857    0.5533
1858    0.5586
1859    0.5640
1860    0.5690
1861    0.5796
1862    0.5209
1863    0.5211
1864    0.5216
1865    0.5224
1866    0.5225
1867    0.5208
1868    0.5192
1869    0.5175
1870    0.5163
1871    0.5367
1872    0.6232
1873    0.6341
1874    0.6411
1875    0.6484
1876    0.6555
1877    0.6624
1878    0.6695
1879    0.6764
1880    0.6829
1881    0.7189
1882    0.6727
1883    0.6783
1884    0.6834
1885    0.6877
1886    0.6904
1887    0.6898
1888    0.6886
1889    0.6872
1890    0.6859
1891    0.6815
1892    0.6950
1893    0.6958
1894    0.7133
1895    0.7175
1896    0.7194
1897    0.7230
1898    0.7245
1899    0.7258
1900    0.7269
1901    0.7928
1902    0.7968
1903    0.8259
1904    0.8524
1905    0.8785
1906    0.9095
1907    0.9186
1908    0.9279
1909    0.9353
1910    0.9410
1911    0.8829
1912    0.8462
1913    0.8159
1914    0.8048
1915    0.7930
1916    0.7951
1917    0.7982
1918    0.8014
1919    0.8071
1920    0.8088
1921    0.8567
1922    0.8491
1923    0.8570
1924    0.8627
1925    0.8656
1926    0.8705
1927    0.9097
1928    0.9130
1929    0.9400
1930     1.018
1931     1.029
1932    0.9308
1933    0.9276
1934    0.9153
1935    0.9137
1936    0.9220
1937    0.8993
1938    0.9024
1939    0.9005
1940    0.8875
1941    0.8702
1942    0.8913
1943    0.8864
1944    0.8923
1945    0.8941
1946    0.9769
1947     1.009
1948     1.016
1949     1.025
1950     1.037
1951     1.258
1952     1.285
1953     1.281
1954     1.335
1955     1.379
1956     1.439
1957     1.469
1958     1.521
1959     1.398
1960     1.386
1961     1.464
1962     1.460
1963     1.475
1964     1.487
1965     1.505
1966     1.539
1967     1.546
1968     1.478
1969     1.483
1970     1.440
1971     1.292
1972     1.264
1973     1.249
1974     1.254
1975     1.245
1976     1.312
1977     1.315
1978     1.312
1979     1.284
1980     1.240
1981     1.263
1982     1.463
1983     1.513
1984     1.560
1985     1.583
1986     1.601
1987     1.611
1988     1.638
1989     1.647
1990     1.644
1991     1.712
1992     1.605
1993     1.594
1994     1.581
1995     1.562
1996     1.531
1997     1.491
1998     1.487
1999     1.449
2000     1.410
2001     1.340
2002     1.378
2003     1.312
2004     1.256
2005     1.196
